
30245|Thu Jul  3 12:03:16 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
30251|Thu Jul  3 12:03:23 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
30313|Thu Jul  3 12:04:14 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
30328|Thu Jul  3 12:04:51 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
30340|Thu Jul  3 12:05:11 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
30372|Thu Jul  3 12:07:07 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
30532|Thu Jul  3 12:58:06 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
30542|Thu Jul  3 12:59:04 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
30556|Thu Jul  3 13:06:36 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
30563|Thu Jul  3 13:06:46 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
31346|Thu Jul  3 16:53:12 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
16117|Wed Jul 23 11:35:00 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
16247|Wed Jul 23 12:11:13 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
16258|Wed Jul 23 12:12:02 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
16265|Wed Jul 23 12:12:17 2014|127.0.0.1|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:23.0) Gecko/20100101 Firefox/23.0
